Country Name,Country Code,year,gdp,Region,IncomeGroup
Aruba,ABW,1960-01-01,,Latin America & Caribbean,High income
Africa Eastern and Southern,AFE,1960-01-01,24210632546.4092,,
Afghanistan,AFG,1960-01-01,,South Asia,Low income
Africa Western and Central,AFW,1960-01-01,11904954209.7913,,
Angola,AGO,1960-01-01,,Sub-Saharan Africa,Lower middle income
Albania,ALB,1960-01-01,,Europe & Central Asia,Upper middle income
Andorra,AND,1960-01-01,,Europe & Central Asia,High income
Arab World,ARB,1960-01-01,,,
United Arab Emirates,ARE,1960-01-01,,Middle East & North Africa,High income
Argentina,ARG,1960-01-01,,Latin America & Caribbean,Upper middle income
Armenia,ARM,1960-01-01,,Europe & Central Asia,Upper middle income
American Samoa,ASM,1960-01-01,,East Asia & Pacific,High income
Antigua and Barbuda,ATG,1960-01-01,,Latin America & Caribbean,High income
Australia,AUS,1960-01-01,18607682977.2293,East Asia & Pacific,High income
Austria,AUT,1960-01-01,6624086313.14334,Europe & Central Asia,High income
Azerbaijan,AZE,1960-01-01,,Europe & Central Asia,Upper middle income
Burundi,BDI,1960-01-01,195999989.80792,Sub-Saharan Africa,Low income
Belgium,BEL,1960-01-01,11810619368.3874,Europe & Central Asia,High income
Benin,BEN,1960-01-01,226195578.434497,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1960-01-01,330442815.821186,Sub-Saharan Africa,Low income
Bangladesh,BGD,1960-01-01,4274894083.33333,South Asia,Lower middle income
Bulgaria,BGR,1960-01-01,,Europe & Central Asia,High income
Bahrain,BHR,1960-01-01,,Middle East & North Africa,High income
"Bahamas, The",BHS,1960-01-01,169735993.889504,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1960-01-01,,Europe & Central Asia,Upper middle income
Belarus,BLR,1960-01-01,,Europe & Central Asia,Upper middle income
Belize,BLZ,1960-01-01,28072478.0724781,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1960-01-01,72400000.0,North America,High income
Bolivia,BOL,1960-01-01,373250000.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,1960-01-01,17030465539.3906,Latin America & Caribbean,Upper middle income
Barbados,BRB,1960-01-01,80021846.9120401,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1960-01-01,,East Asia & Pacific,High income
Bhutan,BTN,1960-01-01,,South Asia,Lower middle income
Botswana,BWA,1960-01-01,30411413.6552828,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1960-01-01,112155598.492157,Sub-Saharan Africa,Low income
Canada,CAN,1960-01-01,40563768946.9503,North America,High income
Central Europe and the Baltics,CEB,1960-01-01,,,
Switzerland,CHE,1960-01-01,10412232620.5258,Europe & Central Asia,High income
Channel Islands,CHI,1960-01-01,,Europe & Central Asia,High income
Chile,CHL,1960-01-01,4110000000.0,Latin America & Caribbean,High income
China,CHN,1960-01-01,59716249310.9742,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1960-01-01,546203559.344361,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1960-01-01,614206068.497266,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1960-01-01,3359404117.64706,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1960-01-01,131731862.783017,Sub-Saharan Africa,Lower middle income
Colombia,COL,1960-01-01,4031152976.63904,Latin America & Caribbean,Upper middle income
Comoros,COM,1960-01-01,,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1960-01-01,,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1960-01-01,507513829.994855,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1960-01-01,641146358.588231,,
Cuba,CUB,1960-01-01,,Latin America & Caribbean,Upper middle income
Curacao,CUW,1960-01-01,,Latin America & Caribbean,High income
Cayman Islands,CYM,1960-01-01,,Latin America & Caribbean,High income
Cyprus,CYP,1960-01-01,,Europe & Central Asia,High income
Czechia,CZE,1960-01-01,,Europe & Central Asia,High income
Germany,DEU,1960-01-01,84619845881.2608,Europe & Central Asia,High income
Djibouti,DJI,1960-01-01,,Middle East & North Africa,Lower middle income
Dominica,DMA,1960-01-01,,Latin America & Caribbean,Upper middle income
Denmark,DNK,1960-01-01,6361166544.50349,Europe & Central Asia,High income
Dominican Republic,DOM,1960-01-01,672399700.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,1960-01-01,2723615451.30098,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1960-01-01,80752362533.5746,,
Early-demographic dividend,EAR,1960-01-01,151408515299.426,,
East Asia & Pacific,EAS,1960-01-01,157146103914.433,,
Europe & Central Asia (excluding high income),ECA,1960-01-01,,,
Europe & Central Asia,ECS,1960-01-01,426424801995.06,,
Ecuador,ECU,1960-01-01,2069464937.19791,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1960-01-01,4206270175.31699,Middle East & North Africa,Lower middle income
Euro area,EMU,1960-01-01,251413246919.607,,
Eritrea,ERI,1960-01-01,,Sub-Saharan Africa,Low income
Spain,ESP,1960-01-01,12424514013.7604,Europe & Central Asia,High income
Estonia,EST,1960-01-01,,Europe & Central Asia,High income
Ethiopia,ETH,1960-01-01,1610511693.84215,Sub-Saharan Africa,Low income
European Union,EUU,1960-01-01,284932124120.844,,
Fragile and conflict affected situations,FCS,1960-01-01,34157915798.1707,,
Finland,FIN,1960-01-01,5279481824.12983,Europe & Central Asia,High income
Fiji,FJI,1960-01-01,112328422.113084,East Asia & Pacific,Upper middle income
